word	phonemes	number_letters	number_phonemes	freq_per_million
you	j.u	3	2	41857.1176
I	aI	1	1	39971.1569
the	D.5	3	2	29449.1765
to	t.u	2	2	22677.8431
a	eI	1	1	20415.2745
it	I.t	2	2	18896.3137
that	D.1.t	4	3	14111.3137
and	1.n.d	3	3	13387.8431
of	V.v	2	2	11577.2353
What	w.V.t	4	3	9842.451
in	I.n	2	2	9773.4118
me	m.i	2	2	9241.9412
is	I.z	2	2	9013
we	w.i	2	2	9011.902
this	D.I.s	4	3	7978.7255
he	h.i	2	2	7637.1961
on	A.n	2	2	6955.7255
for	f.or	3	2	6895.098
my	m.aI	2	2	6762.7255
your	j.Ur	4	2	6445.3922
don	d.A.n	3	3	6295.7843
have	h.1.v	4	3	6161.4118
do	d.u	2	2	6135.5882
re	r0.i	2	2	6099.451
No	n.oU	2	2	5971.549
be	b.i	2	2	5746.7647
know	n.oU	4	2	5721.1765
was	w.V.z	3	3	5654.7255
not	n.A.t	3	3	5424.9608
can	k.1.n	3	3	5247.451
are	Ar	3	1	5209.2549
all	O.l	3	2	5161.8627
with	w.I.D	4	3	5048.3333
just	dZ.V.s.t	4	4	4749.1373
get	g.E.t	3	3	4583.7647
here	h.ir.56	4	3	4525.2549
but	b.V.t	3	3	4417.4706
there	D.Er	5	2	4348.1176
so	s.oU	2	2	4244.1569
they	D.eI	4	2	4102.9412
right	r0.aI.t	5	3	4008.3922
like	l.aI.k	4	3	3998.9608
out	aU.t	3	2	3865.3137
go	g.oU	2	2	3793.0392
she	S.i	3	2	3732.8824
up	V.p	2	2	3670
about	5.b.aU.t	5	4	3631.4902
if	I.f	2	2	3541.3725
him	h.I.m	3	3	3484.5098
got	g.A.t	3	3	3306.4902
Oh	oU	2	1	3289.8235
at	1.t	2	2	3217.098
now	n.aU	3	2	3202.6078
Come	k.V.m	4	3	3140.9804
one	w.V.n	3	3	3072.2353
How	h.aU	3	2	3056.2157
Well	w.E.l	4	3	2990.6471
Yeah	j.E.h	4	3	2985.5294
her	h.36	3	2	2835.8235
want	w.A.n.t	4	4	2759.1765
think	T.I.N.k	5	4	2691.3922
good	g.U.d	4	3	2610.1373
see	s.i	3	2	2556.7255
Let	l.E.t	3	3	2419.2353
did	d.I.d	3	3	2341.3725
Why	w.aI	3	2	2248.7647
who	h.u	3	2	2222.9412
as	1.z	2	2	2217.0196
his	h.I.z	3	3	2124.7843
will	w.I.l	4	3	2123.6471
going	g.oU.I.N	5	4	2123.2941
from	f.r0.V.m	4	4	2039.0588
when	w.E.n	4	3	2034.098
back	b.1.k	4	3	2009.1569
Okay	oU.k.eI	4	3	2006.2745
Yes	j.E.s	3	3	1996.7647
time	t.aI.m	4	3	1958.6275
look	l.U.k	4	3	1947.2745
take	t.eI.k	4	3	1891.0392
an	5.n	2	2	1864.1373
man	m.1.n	3	3	1845.7451
Where	w.Er	5	2	1830.2157
them	D.E.m	4	3	1778.8235
would	w.U.d	5	3	1767.8824
been	b.I.n	4	3	1736.7255
some	s.V.m	4	3	1727.2353
Hey	h.eI	3	2	1727.0392
tell	t.E.l	4	3	1724.4902
or	or	2	1	1705.2941
us	V.z	2	2	1695.6471
had	h.1.d	3	3	1675.9216
were	w.36	4	2	1662.8235
say	s.eI	3	2	1639.7843
could	k.U.d	5	3	1629.5882
something	s.V.m.T.I.N	9	6	1500.1569
really	r0.ir.l.i	6	4	1500.1569
down	d.aU.n	4	3	1490.2745
