pair,speaker,current_date,age,male,female,dominance_lg1,dominance_lg2,dominance_lg3,dominance_lg4,dominance_lg5,acquisition_lg1,acquisition_lg2,acquisition_lg3,acquisition_lg4,acquisition_lg5,acquisition_lg1_pct_exposed,acquisition_lg2_pct_exposed,acquisition_lg3_pct_exposed,acquisition_lg4_pct_exposed,acquisition_lg5_pct_exposed,acquisition_lg1_pct_read,acquisition_lg2_pct_read,acquisition_lg3_pct_read,acquisition_lg4_pct_read,acquisition_lg5_pct_read,acquisition_lg1_pct_speak,acquisition_lg2_pct_speak,acquisition_lg3_pct_speak,acquisition_lg4_pct_speak,acquisition_lg5_pct_speak,culture1,culture2,culture3,culture4,culture5,culture1_amount,culture2_amount,culture3_amount,culture4_amount,culture5_amount,years_education,less_high_school,some_college,masters,high_school,college,phd_md_jd,professional_training,some_graduate_school,other,other_explanation,vision_problem,hearing_impairment,language_disability,learning_disability,language1,language1_order_learn,language1_age_began_acquiring,language1_age_fluent,language1_age_began_reading,language1_age_fluent_reading,language1_country_spoken_years,language1_country_spoken_months,language1_family_spoken_years,language1_family_spoken_months,language1_work_spoken_years,language1_work_spoken_months,language1_proficiency_speaking,language1_proficiency_understanding,language1_proficiency_reading,language1_factor_learning_friends,language1_factor_learning_tapes,language1_factor_learning_family,language1_factor_learning_tv,language1_factor_learning_reading,language1_factor_learning_radio,language1_current_exposure_friends,language1_current_exposure_music,language1_current_exposure_family,language1_current_exposure_reading,language1_current_exposure_tv,language1_current_exposure_instruction,language1_accent_self_perception,language1_accent_identified_nonnative,language2,language2_order_learn,language2_age_began_acquiring,language2_age_fluent,language2_age_began_reading,language2_age_fluent_reading,language2_country_spoken_years,language2_country_spoken_months,language2_family_spoken_years,language2_family_spoken_months,language2_work_spoken_years,language2_work_spoken_months,language2_proficiency_speaking,language2_proficiency_understanding,language2_proficiency_reading,language2_factor_learning_friends,language2_factor_learning_tapes,language2_factor_learning_family,language2_factor_learning_tv,language2_factor_learning_reading,language2_factor_learning_radio,language2_current_exposure_friends,language2_current_exposure_music,language2_current_exposure_family,language2_current_exposure_reading,language2_current_exposure_tv,language2_current_exposure_instruction,language2_accent_self_perception,language2_accent_identified_nonnative
e00,s1,7/16/2016,20,0,1,English,Japanese,French,NA,NA,Japanese,English,French,NA,NA,30,70,NA,NA,NA,0,100,NA,NA,NA,50,50,NA,NA,NA,Japanese,NA,NA,NA,NA,10,NA,NA,NA,NA,15,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,English,Second,3,3,3,3,11,NA,17,NA,17,NA,10,10,10,9,10,0,5,10,7,10,8,0,10,5,10,7,0,Japanese,Native,0,14,7,14,9,NA,20,NA,8,NA,5,3,1,5,3,10,7,2,1,5,3,10,2,8,1,0,0
e00,s2,7/17/2016,21,0,1,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,85,15,NA,NA,NA,70,30,NA,NA,NA,60,40,NA,NA,NA,Japanese,US-American,NA,NA,NA,8,3,NA,NA,NA,14,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,4,4,5,15,1,21,2,15,2,8,8,7,8,0,9,5,5,0,8,5,10,4,10,7,1,1,English,Second,6,6,6,6,6,0,0,0,8,3,7,8,8,10,1,0,6,7,0,3,5,0,4,1,1,1,2
e01,s1,7/20/2016,20,1,0,Japanese,English,Chinese,NA,NA,Japanese,English,Chinese,NA,NA,90,5,5,NA,NA,90,10,0,NA,NA,80,15,5,NA,NA,Japanese,NA,NA,NA,NA,10,NA,NA,NA,NA,13,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,Japanese,Native,2,4,4,7,11,10,20,3,11,4,10,10,9,7,0,9,6,5,0,5,2,4,5,6,0,0,0,English,Second,3,4,6,17,8,5,0,0,3,6,8,7,8,8,5,1,6,4,0,4,3,1,4,2,4,3,4
e01,s2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e02,s1,7/21/2016,19,0,1,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,65,35,NA,NA,NA,50,50,NA,NA,NA,70,30,NA,NA,NA,Japanese,US-American,NA,NA,NA,6,4,NA,NA,NA,12,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,2,3,4,12,7,19,1,9,7,8,9,9,8,8,10,5,9,1,9,2,9,8,4,8,0,0,English,Second,4,6,6,7,6,6,0,NA,6,6,7,8,8,10,8,3,9,10,1,2,7,3,10,10,7,3,NA
e02,s2,7/21/2016,19,0,1,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,70,30,NA,NA,NA,50,50,NA,NA,NA,60,40,NA,NA,NA,Japanese,NA,NA,NA,NA,7,NA,NA,NA,NA,13,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,1,2,3,12,3,19,7,11,3,8,9,9,5,0,10,4,9,0,8,5,8,5,5,1,0,0,English,Second,9,10,9,10,3,NA,0,NA,3,NA,7,7,7,10,1,2,4,8,2,2,5,2,5,5,4,3,3
e03,s1,7/19/2016,20,1,0,Japanese,English,Spanish,Chinese,NA,Japanese,English,Spanish,Chinese,NA,95,5,0,0,NA,90,10,0,0,NA,90,10,NA,NA,NA,Japanese,US-American,Australian,NA,NA,9,5,3,NA,NA,15,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,3,3,5,19,11,20,NA,16,4,10,9,9,8,0,8,4,7,3,10,3,10,8,6,1,0,0,English,Second,0,15,3,15,0,11,0,10,0,11,8,7,7,9,7,9,7,8,7,3,6,3,4,3,4,2,3
e03,s2,7/19/2016,19,1,0,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,90,10,NA,NA,NA,90,10,NA,NA,NA,100,0,NA,NA,NA,Japanese,NA,NA,NA,NA,8,NA,NA,NA,NA,13,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,3,5,6,15,3,18,3,13,4,9,9,8,8,0,10,7,5,3,9,9,10,8,8,8,2,0,English,Second,6,7,6,8,4,4,0,1,4,4,7,6,6,10,1,0,7,3,0,3,2,0,3,3,2,4,3
e04,s1,8/19/2016,27,0,1,English,Japanese,NA,NA,NA,Japanese,English,NA,NA,NA,50,50,NA,NA,NA,70,30,NA,NA,NA,50,50,NA,NA,NA,Alaskan,Japanese,Okinawan,US-American,NA,10,10,7,5,NA,17,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,English,Native,1,5,6,8,20,NA,20,NA,27,NA,10,10,10,10,2,10,4,10,4,5,5,5,7,5,0,0,0,Japanese,Native,1,5,5,20,7,NA,27,NA,10,NA,9,9,9,10,0,10,8,10,5,5,5,5,3,5,0,1,0
e04,s2,8/19/2016,25,0,1,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,30,70,NA,NA,NA,80,20,NA,NA,NA,50,50,NA,NA,NA,Japanese,US-American,NA,NA,NA,6,4,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,Japanese,Native,1,6,3,6,25,NA,25,NA,25,NA,9,10,10,10,10,10,10,10,10,5,2,5,7,1,0,0,NA,English,Second,3,10,5,10,2,NA,25,NA,1,6,7,8,7,10,10,10,10,10,10,9,10,5,10,4,10,1,0
e05,s1,8/18/2016,28,1,0,English,Japanese,French,NA,NA,English,Japanese,French,NA,NA,50,50,0,NA,NA,30,70,NA,NA,NA,40,60,NA,NA,NA,US-American,Okinawan,Japanese,NA,NA,NA,NA,NA,NA,NA,18,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,English,Native,0,8,5,16,20,NA,28,NA,28,NA,10,10,10,5,2,10,6,8,4,8,5,10,5,7,2,0,0,Japanese,Second,14,21,19,27,7,NA,0,NA,6,NA,9,8,7,5,9,1,5,10,4,5,7,0,9,4,8,3,6
e05,s2,8/19/2016,27,0,1,English,Japanese,NA,NA,NA,Japanese,English,NA,NA,NA,50,50,NA,NA,NA,70,30,NA,NA,NA,50,50,NA,NA,NA,Alaskan,Japanese,Okinawan,US-American,NA,10,10,7,5,NA,17,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,English,Native,1,5,6,8,20,NA,20,NA,27,NA,10,10,10,10,2,10,4,10,4,5,5,5,7,5,0,0,0,Japanese,Native,1,5,5,20,7,NA,27,NA,10,NA,9,9,9,10,0,10,8,10,5,5,5,5,3,5,0,1,0
e06,s1,8/22/2016,24,0,1,Japanese,English,NA,NA,NA,Japanese,English,NA,NA,NA,30,70,NA,NA,NA,70,30,NA,NA,NA,50,50,NA,NA,NA,Japanese,US-Hawaiian (local),US-American,NA,NA,10,7,4,NA,NA,17,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,Japanese,Native,0,6,6,6,18,9,18,9,18,0,10,10,10,10,8,10,10,10,1,3,1,2,3,1,1,0,1,English,Second,10,22,10,22,6,1,0,0,15,0,8,8,7,10,10,0,1,10,1,10,10,1,10,1,10,2,2
e06,s2,8/22/2016,29,0,1,Japanese,English,Spanish,NA,NA,Japanese,English,Spanish,NA,NA,20,70,10,NA,NA,30,70,0,NA,NA,45,45,10,NA,NA,Japanese,Latino,NA,NA,NA,5,3,NA,NA,NA,19,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,Japanese,Native,0,5,3,5,20,0,28,0,13,0,9,10,7,10,0,10,8,10,0,5,4,0,3,NA,0,0,0,English,Second,6,15,6,13,1,1,0,0,10,0,7,10,10,10,5,0,4,10,0,10,5,0,10,4,0,6,5
