tier	utterance	duration_s
e07_b00_s1_jap	<laugh>	0.9313331078476473
e07_b00_s1_jap	<laugh><breath>	1.6453551571975102
e07_b00_s1_jap	ンー　テレビバングミ	1.676399594125765
e07_b00_s1_jap	テレビバングミ	1.3349107879149624
e07_b00_s1_jap	カ　ココ　デス　カ　ハワイ　デス　カ	1.8937106526235485
e07_b00_s1_jap	アー　アー　ナニ　シ　ニ　ニッポン　ヘ	2.2972883326908615
e07_b00_s1_jap	<laugh>	3.193937367160487
e07_b00_s1_jap	ンー　	1.1333019393670654
e07_b00_s1_jap	ヤッ	0.35366531118334166
e07_b00_s1_jap	コジンテキ　ニ　ナンカ　マー　ミテテ　オモシロイ　ナ	2.1775839606253555
e07_b00_s1_jap	ト　オモウ　ケド	0.8537613620361668
e07_b00_s1_jap	デモ　ジッサイ　ニ　コー　ガイコクジン　ノ　タチバ　ニ　ナッタ　トキ　ニ	2.4140838512746825
e07_b00_s1_jap	ナンカ	0.4741513462651952
e07_b00_s1_jap	ンー	1.5603224892385228
e07_b00_s1_jap	ンー　<laugh>	1.9136030528396972
e07_b00_s1_jap	ンー　デモ　ソー　イウ　カンジ　ジャナクテ　タブン	2.019533511870293
e07_b00_s1_jap	ウン	0.4383632589255626
e07_b00_s1_jap	カ　ナンヤ　クーコー	1.0116653332046752
e07_b00_s1_jap	トカ　ダッテ　ナンカ　ゼイカン　トル　トキ　ニ	2.133294289583745
e07_b00_s1_jap	テ　イワレテ　	0.7037671883162915
e07_b00_s1_jap	ソレ　ケッコー　フツー　ジャナイ　デス　カ	1.3195634780930448
e07_b00_s1_jap	デ　ナンカ　コー	0.8137308114907142
e07_b00_s1_jap	ノ　ネタ　ト　シテ　ツカワレル　ノ　ハ　ワカル　ケド	2.705105130090729
e07_b00_s1_jap	アー　エー　ジャー　タトエバ　ナニ　ナン　ドンナ　シツモン　ガ　アルン　デス　カ　	3.6493733060108156
e07_b00_s1_jap	<laugh>	1.0556038488461041
e07_b00_s1_jap	<laugh>	2.29216835749439
e07_b00_s1_jap	ハー	1.3017837010773405
e07_b00_s1_jap	ハー　タシカ　ニ　	1.5957348593851322
e07_b00_s1_jap	<laugh>	0.8551454012627318
e07_b00_s1_jap	<breath> タシカ　ニ　	1.3437767236927414
e07_b00_s1_jap	ンー　	1.847692995077523
e07_b00_s1_jap	タシカ　ニ　	0.49754647741011127
e07_b00_s1_jap	ンー	0.46192324876938073
e07_b00_s1_jap	ンー　ンー	0.540549582918203
e07_b00_s1_jap	ヤッパリ	0.5573175919455196
e07_b00_s1_jap	ニホン　ガ	0.7024464389114087
e07_b00_s1_jap	ア　ニホン　ニ	1.3648501436651372
e07_b00_s1_jap	ナン　ナン　デモ　ソンナ　	1.490360117753113
e07_b00_s1_jap	ンー　ンー　ンー　ンー　ンー	1.3697705558772384
e07_b00_s1_jap	ヤッパリ　ナンカ　ソコ　ニ　ハ　コー	1.6402702998647385
e07_b00_s1_jap	ニホンジン　ニ　ミエナイ　ヒトタチ　ハ	1.747008183891353
e07_b00_s1_jap	スデ　ニ　ガイコクジン　デ	1.3648501436651372
e07_b00_s1_jap	ナンカ　ソー　イウ　ヒト　ガ　ニホン　ニ　クル　ノ　ハ　メズラシー　ミタイ　ナ　<laugh>　バックグラウンド　ガ　アル　キ　ガ　スル　	5.242540887799976
e07_b00_s1_jap	<laugh>　ヤ　<laugh>　ワカラナイ　ケド　	2.8388882988234627
e07_b00_s1_jap	ホカ　ノ　テレビバングミ	1.528632160904948
e07_b00_s1_jap	アル　カ　ナ	0.43675204597286665
e07_b00_s1_jap	ンー	0.600534063212649
e07_b00_s1_jap	ンー　ンー　ンー　ンー	2.105831367616986
e07_b00_s1_jap	<laugh>	2.307358278078283
e07_b00_s1_jap	ンー	0.8036795017201825
e07_b00_s1_jap	タシカ　ニ　	0.5268348291835423
e07_b00_s1_jap	<laugh>	1.1765977851765967
e07_b00_s1_jap	ナルホド	0.5619571511291213
