line	tmin	tier	text	tmax
1	19.739430	e01_s1_seg	nanka_na_jap_jap	19.816105
2	19.816105	e01_s1_seg	nanka_n_jap_jap	19.884695
3	19.884695	e01_s1_seg	nanka_ka_jap_jap	20.112218
4	23.334489	e01_s1_seg	nanka_na_jap_jap	23.398248
5	23.398248	e01_s1_seg	nanka_n_jap_jap	23.428580
6	23.428580	e01_s1_seg	nanka_ka_jap_jap	23.553959
7	34.065718	e01_s1_seg	so-jap_s_jap_jap	34.113648
8	34.113648	e01_s1_seg	so-jap_o_jap_jap	34.213923
9	40.325049	e01_s1_seg	nanka_na_jap_jap	40.418314
10	40.418314	e01_s1_seg	nanka_n_jap_jap	40.472908
11	40.472908	e01_s1_seg	nanka_ka_jap_jap	40.751315
12	50.111644	e01_s1_seg	nanka_na_jap_jap	50.220178
13	50.220178	e01_s1_seg	nanka_n_jap_jap	50.286349
14	50.286349	e01_s1_seg	nanka_ka_jap_jap	50.511054
15	69.600950	e01_s1_seg	like_l_eng_eng_d	69.614291
16	69.614291	e01_s1_seg	like_i_eng_eng_d	69.703632
17	69.703632	e01_s1_seg	like_k-closure_eng_eng_d	69.773452
18	69.773452	e01_s1_seg	like_k-burst_eng_eng_d	69.779422
19	69.779422	e01_s1_seg	like_k-release_eng_eng_d	69.801278
20	72.984077	e01_s1_seg	like_l_eng_eng_d	73.005815
21	73.005815	e01_s1_seg	like_i_eng_eng_d	73.065677
22	73.065677	e01_s1_seg	like_k-closure_eng_eng_d	73.092097
23	73.092097	e01_s1_seg	like_k-burst_eng_eng_d	73.096093
24	73.096093	e01_s1_seg	like_k-release_eng_eng_d_0	73.110103
25	75.890674	e01_s1_seg	like_l_eng_eng_d	75.920403
26	75.920403	e01_s1_seg	like_i_eng_eng_d	76.026373
27	76.026373	e01_s1_seg	like_k-closure_eng_eng_d	76.182212
28	76.182212	e01_s1_seg	like_k-burst_eng_eng_d	76.188925
29	76.188925	e01_s1_seg	like_k-release_eng_eng_d_0	76.217695
30	76.841216	e01_s1_seg	like_l_eng_eng_d	76.879791
31	76.879791	e01_s1_seg	like_i_eng_eng_d	76.988564
32	76.988564	e01_s1_seg	like_k-closure_eng_eng_d	77.014628
33	77.014628	e01_s1_seg	like_k-burst_eng_eng_d_0	77.021579
34	77.021579	e01_s1_seg	like_k-release_eng_eng_d_0	77.025354
35	79.225671	e01_s1_seg	yeah_y_eng_eng	79.252669
36	79.252669	e01_s1_seg	yeah_eah_eng_eng	79.353975
37	80.245246	e01_s1_seg	yeah_y_eng_eng	80.275675
38	80.275675	e01_s1_seg	yeah_eah_eng_eng	80.440569
39	127.277266	e01_s1_seg	like_l_eng_eng_d	127.315205
40	127.315205	e01_s1_seg	like_i_eng_eng_d	127.423370
41	127.423370	e01_s1_seg	like_k-closure_eng_eng_d	127.564631
42	127.564631	e01_s1_seg	like_k-burst_eng_eng_d_0	127.585618
43	127.585618	e01_s1_seg	like_k-release_eng_eng_d_0	127.605799
44	188.822958	e01_s1_seg	like_l_eng_eng_d	188.848377
45	188.848377	e01_s1_seg	like_i_eng_eng_d	188.922518
46	188.922518	e01_s1_seg	like_k-closure_eng_eng_d	189.012697
47	189.012697	e01_s1_seg	like_k-burst_eng_eng_d	189.070161
48	189.070161	e01_s1_seg	like_k-release_eng_eng_d_0	189.083608
49	189.298738	e01_s1_seg	like_l_eng_eng_d	189.333680
50	189.333680	e01_s1_seg	like_i_eng_eng_d	189.480985
51	189.480985	e01_s1_seg	like_k-closure_eng_eng_d	189.634657
52	189.634657	e01_s1_seg	like_k-burst_eng_eng_d	189.690716
53	189.690716	e01_s1_seg	like_k-release_eng_eng_d_0	189.748741
54	194.807014	e01_s1_seg	like_l_eng_eng_d	194.827714
55	194.827714	e01_s1_seg	like_i_eng_eng_d	195.040915
56	195.040915	e01_s1_seg	like_k-closure_eng_eng_d	195.115432
57	195.115432	e01_s1_seg	like_k-burst_eng_eng_d	195.123031
58	195.123031	e01_s1_seg	like_k-release_eng_eng_d_0	195.168560
59	197.642918	e01_s1_seg	yeah_y_eng_eng	197.674510
60	197.674510	e01_s1_seg	yeah_eah_eng_eng	197.881618
61	200.066227	e01_s1_seg	yeah_y_eng_eng	200.091661
62	200.091661	e01_s1_seg	yeah_eah_eng_eng	200.231809
63	207.230256	e01_s1_seg	yeah_y_eng_eng	207.287513
64	207.287513	e01_s1_seg	yeah_eah_eng_eng	207.553164
65	212.339402	e01_s1_seg	like_l_jap_eng_d	212.372747
66	212.372747	e01_s1_seg	like_i_jap_eng_d	212.456836
67	212.456836	e01_s1_seg	like_k-closure_jap_eng_d	212.563638
68	212.563638	e01_s1_seg	like_k-burst_jap_eng_d_0	212.576137
69	212.576137	e01_s1_seg	like_k-release_jap_eng_d_0	212.582968
70	214.502396	e01_s1_seg	like_l_eng_eng_d	214.535277
71	214.535277	e01_s1_seg	like_i_eng_eng_d	214.639699
72	214.639699	e01_s1_seg	like_k-closure_eng_eng_d	214.836013
73	214.836013	e01_s1_seg	like_k-burst_eng_eng_d	214.865809
74	214.865809	e01_s1_seg	like_k-release_eng_eng_d_0	214.904425
75	216.127737	e01_s1_seg	like_l_eng_eng_d 	216.149366
76	216.149366	e01_s1_seg	like_i_eng_eng_d	216.262780
77	216.262780	e01_s1_seg	like_k-closure_eng_eng_d	216.331004
78	216.331004	e01_s1_seg	like_k-burst_eng_eng_d	216.334191
79	216.334191	e01_s1_seg	like_k-release_eng_eng_d_0	216.340742
80	219.057634	e01_s1_seg	like_l_eng_eng_d	219.084527
81	219.084527	e01_s1_seg	like_i_eng_eng_d	219.192617
82	219.192617	e01_s1_seg	like_k-closure_eng_eng_d	219.350465
83	219.350465	e01_s1_seg	like_k-burst_eng_eng_d	219.373111
84	219.373111	e01_s1_seg	like_k-release_eng_eng_d_0	219.394643
85	222.190794	e01_s1_seg	like_l_eng_jap_d	222.224017
86	222.224017	e01_s1_seg	like_i_eng_jap_d	222.284465
87	222.284465	e01_s1_seg	like_k-closure_eng_jap_d	222.324343
88	222.324343	e01_s1_seg	like_k-burst_eng_eng_d	222.351378
89	222.351378	e01_s1_seg	like_k-release_eng_jap_d_0	222.369829
90	224.445257	e01_s1_seg	like_l_eng_eng_d	224.490907
91	224.490907	e01_s1_seg	like_i_eng_eng_d	224.602751
92	224.602751	e01_s1_seg	like_k-closure_eng_eng_d	224.842415
93	224.842415	e01_s1_seg	like_k-burst_eng_eng_d	224.847619
94	224.847619	e01_s1_seg	like_k-release_eng_eng_d_0	224.853406
95	226.626951	e01_s1_seg	like_l_eng_eng_d	226.682393
96	226.682393	e01_s1_seg	like_i_eng_eng_d	226.757951
97	226.757951	e01_s1_seg	like_k-closure_eng_eng_d	226.823206
98	226.823206	e01_s1_seg	like_k-burst_eng_eng_d	226.831056
99	226.831056	e01_s1_seg	like_k-release_eng_eng_d_0	226.849701
100	228.795165	e01_s1_seg	yeah_y_eng_eng	228.840808
101	228.840808	e01_s1_seg	yeah_eah_eng_eng	229.031679
102	231.105620	e01_s1_seg	yeah_y_eng_eng	231.180782
103	231.180782	e01_s1_seg	yeah_eah_eng_eng	231.398951
104	235.478243	e01_s1_seg	yeah_y_eng_eng	235.539449
105	235.539449	e01_s1_seg	yeah_eah_eng_eng	235.879144
106	238.043955	e01_s1_seg	yeah_y_eng_eng	238.071115
107	238.071115	e01_s1_seg	yeah_eah_eng_eng	238.206845
108	240.434907	e01_s1_seg	like_l_eng_eng_d	240.465407
109	240.465407	e01_s1_seg	like_i_eng_eng_d	240.513784
110	240.513784	e01_s1_seg	like_k-closure_eng_eng_d	240.571329
111	240.571329	e01_s1_seg	like_k-burst_eng_eng_d	240.579376
112	240.579376	e01_s1_seg	like_k-release_eng_eng_d_0	240.588662
113	241.672616	e01_s1_seg	like_l_eng_eng_d	241.728208
114	241.728208	e01_s1_seg	like_i_eng_eng_d	241.889690
115	241.889690	e01_s1_seg	like_k-closure_eng_eng_d	242.104116
116	242.104116	e01_s1_seg	like_k-burst_eng_eng_d_0	242.143824
117	242.143824	e01_s1_seg	like_k-release_eng_eng_d_0	242.180885
118	248.136833	e01_s1_seg	like_l_eng_eng_d	248.173400
119	248.173400	e01_s1_seg	like_i_eng_eng_d	248.294691
120	248.294691	e01_s1_seg	like_k-closure_eng_eng_d	248.310514
121	248.310514	e01_s1_seg	like_k-burst_eng_eng_d	248.320948
122	248.320948	e01_s1_seg	like_k-release_eng_eng_d_0	248.341226
123	250.088420	e01_s1_seg	so-eng_s_eng_eng	250.174696
124	250.174696	e01_s1_seg	so-eng_o_eng_eng	250.283597
125	253.495277	e01_s1_seg	so-eng_s_eng_eng	253.549019
126	253.549019	e01_s1_seg	so-eng_o_eng_eng	253.595278
127	258.155251	e01_s1_seg	so-eng_s_eng_eng	258.246562
128	258.246562	e01_s1_seg	so-eng_o_eng_eng	258.329744
129	258.358147	e01_s1_seg	like_l_eng_eng_d	258.473401
