line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,41.661157,e02_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,41.685065,0.023907999999998708,23.907999999998708,e02_b00_s1,e02,b00,s1
2,41.685065,e02_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,41.782015,0.09694999999999965,96.94999999999965,e02_b00_s1,e02,b00,s1
3,41.782015,e02_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,41.849477,0.06746199999999902,67.46199999999902,e02_b00_s1,e02,b00,s1
4,41.849477,e02_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,41.852874,0.0033969999999996503,3.3969999999996503,e02_b00_s1,e02,b00,s1
5,41.852874,e02_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,41.858876,0.006002000000002283,6.002000000002283,e02_b00_s1,e02,b00,s1
6,53.601184,e02_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,53.676857,0.07567299999999477,75.67299999999477,e02_b00_s1,e02,b00,s1
7,53.676857,e02_s1_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,53.828202,0.15134499999999917,151.34499999999917,e02_b00_s1,e02,b00,s1
8,58.119048,e02_s1_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,58.192356,0.07330799999999726,73.30799999999726,e02_b00_s1,e02,b00,s1
9,58.192356,e02_s1_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,58.442923,0.25056700000000376,250.56700000000376,e02_b00_s1,e02,b00,s1
10,59.380858,e02_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,59.410906,0.030047999999993635,30.047999999993635,e02_b00_s1,e02,b00,s1
11,59.410906,e02_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,59.488473,0.07756700000000194,77.56700000000194,e02_b00_s1,e02,b00,s1
12,59.488473,e02_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,59.56491,0.07643699999999853,76.43699999999853,e02_b00_s1,e02,b00,s1
13,59.56491,e02_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,59.56897,0.004060000000002617,4.060000000002617,e02_b00_s1,e02,b00,s1
14,59.56897,e02_s1_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,59.579694,0.010724000000003286,10.724000000003286,e02_b00_s1,e02,b00,s1
15,60.857296,e02_s1_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,60.926531,0.06923499999999905,69.23499999999905,e02_b00_s1,e02,b00,s1
16,60.926531,e02_s1_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,61.036874,0.1103430000000003,110.3430000000003,e02_b00_s1,e02,b00,s1
