line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.001,982.765,1826.641,2602.579,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.002,759.365,884.41,1583.223,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.003,1045.356,1834.517,2668.29,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.004,385.062,1714.664,2418.696,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.005,1452.314,2149.845,2773.455,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.006,520.104,1434.554,2449.344,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.007,722.97,1344.187,1933.04,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.008,800.819,1572.501,2440.269,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.009,384.017,1200.549,1826.545,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.01,705.322,1406.961,2512.657,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.011,666.436,1926.756,2259,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.012,412.388,1376.472,2098.405,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.013,513.594,1250.486,2199.766,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.014,1099.211,1880.097,2581.093,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.015,446.901,1257.342,2075.38,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.016,863.613,1765.845,2621.624,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.017,1014.593,1976.824,2666.169,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.018,677.812,1426.237,2323.696,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.019,1143.328,1846.327,2578.794,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.02,592.356,1438.895,2408.538,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.021,867.705,1574.987,2209.204,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.022,643.048,1994.916,2642.413,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.023,827.804,2197.388,2822.943,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.024,935.047,1833.043,2467.704,male
1,9.620477,e03_s1_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,9.713714,0.09323700000000024,93.23700000000024,e03_a00_s1,e03,a00,s1,0.025,848.986,1665.281,2567.251,male
