line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,speaking,time,f1,f2,f3,gender
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.001,748.094,1484.556,2263.97,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.002,596.417,1349.962,2284,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.003,731.521,1447.275,2276.163,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.004,694.786,1444.171,2224.683,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.005,884.298,1371.659,1937.218,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.006,1008.334,1779.568,3310.856,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.007,911.153,1398.304,1882.674,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.008,615.963,1422.237,2184.674,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.009,961.943,1793.724,3460.201,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.01,734.604,1447.873,2195.242,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.011,686.442,1542.418,2329.074,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.012,859.404,1627.185,2361.472,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.013,188.911,1689.61,2435.676,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.014,1019.289,1775.639,2496.105,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.015,573.094,1386.326,2135.576,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.016,576.222,1403.354,2159.809,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.017,854.107,1619.531,2456.044,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.018,947.882,2656.061,3837.851,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.019,941.577,1708.236,2411.675,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.02,1070.764,1881.847,3410.505,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.021,840.364,1538.62,2130.136,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.022,523.148,1361.984,2135.164,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.023,994.686,1802.901,2614.782,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.024,1040.514,1870.211,3542.6,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.025,834.004,1610.771,3201.173,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.026,991.869,1894.825,3657.948,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.027,969.354,1732.794,3429.888,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.028,1378.525,2115.327,3210.552,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.029,833.793,1620.613,2473.683,female
