line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker
1,11.083803,e07_s2_seg,like_l_eng_eng_g,like,l,eng,eng,g,1,11.097657,0.013854000000000255,13.854000000000255,e07_a00_s2,e07,a00,s2
2,11.097657,e07_s2_seg,like_i_eng_eng_g,like,i,eng,eng,g,1,11.177037,0.07938000000000045,79.38000000000045,e07_a00_s2,e07,a00,s2
3,11.177037,e07_s2_seg,like_k-closure_eng_eng_g,like,k-closure,eng,eng,g,1,11.277077,0.1000399999999999,100.0399999999999,e07_a00_s2,e07,a00,s2
4,11.277077,e07_s2_seg,like_k-burst_eng_eng_g_0,like,k-burst,eng,eng,g,0,11.281475,0.004398000000000124,4.398000000000124,e07_a00_s2,e07,a00,s2
5,11.281475,e07_s2_seg,like_k-release_eng_eng_g_0,like,k-release,eng,eng,g,0,11.285197,0.003721999999999781,3.721999999999781,e07_a00_s2,e07,a00,s2
6,21.110945,e07_s2_seg,like_l_eng_eng_g,like,l,eng,eng,g,1,21.135475,0.02452999999999861,24.52999999999861,e07_a00_s2,e07,a00,s2
7,21.135475,e07_s2_seg,like_i_eng_eng_g,like,i,eng,eng,g,1,21.228531,0.0930560000000007,93.0560000000007,e07_a00_s2,e07,a00,s2
8,21.228531,e07_s2_seg,like_k-closure_eng_eng_g,like,k-closure,eng,eng,g,1,21.287368,0.05883700000000047,58.83700000000047,e07_a00_s2,e07,a00,s2
9,21.287368,e07_s2_seg,like_k-burst_eng_eng_g,like,k-burst,eng,eng,g,1,21.297963,0.010594999999998578,10.594999999998578,e07_a00_s2,e07,a00,s2
10,21.297963,e07_s2_seg,like_k-release_eng_eng_g_0,like,k-release,eng,eng,g,0,21.320844,0.022881000000001706,22.881000000001706,e07_a00_s2,e07,a00,s2
11,24.789068,e07_s2_seg,like_l_eng_eng_g,like,l,eng,eng,g,1,24.794891,0.0058229999999994675,5.8229999999994675,e07_a00_s2,e07,a00,s2
12,24.794891,e07_s2_seg,like_i_eng_eng_g,like,i,eng,eng,g,1,24.868087,0.07319599999999937,73.19599999999937,e07_a00_s2,e07,a00,s2
13,24.868087,e07_s2_seg,like_k-closure_eng_eng_g,like,k-closure,eng,eng,g,1,24.921562,0.05347500000000238,53.47500000000238,e07_a00_s2,e07,a00,s2
14,24.921562,e07_s2_seg,like_k-burst_eng_eng_g_0,like,k-burst,eng,eng,g,0,24.922733,0.001170999999999367,1.170999999999367,e07_a00_s2,e07,a00,s2
15,24.922733,e07_s2_seg,like_k-release_eng_eng_g_0,like,k-release,eng,eng,g,0,24.923903,0.001169999999998339,1.169999999998339,e07_a00_s2,e07,a00,s2
16,27.878483,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,27.933834,0.055351000000001704,55.351000000001704,e07_a00_s2,e07,a00,s2
17,27.933834,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,27.983827,0.04999300000000062,49.99300000000062,e07_a00_s2,e07,a00,s2
18,27.983827,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,28.063663,0.07983599999999669,79.83599999999669,e07_a00_s2,e07,a00,s2
19,28.063663,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,28.157906,0.0942430000000023,94.2430000000023,e07_a00_s2,e07,a00,s2
20,28.157906,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,28.259809,0.10190300000000008,101.90300000000008,e07_a00_s2,e07,a00,s2
21,28.259809,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,28.337673,0.07786399999999816,77.86399999999816,e07_a00_s2,e07,a00,s2
22,28.337673,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,28.394757,0.05708399999999969,57.08399999999969,e07_a00_s2,e07,a00,s2
23,28.394757,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,28.468674,0.07391700000000156,73.91700000000156,e07_a00_s2,e07,a00,s2
24,28.468674,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,28.555326,0.08665200000000084,86.65200000000084,e07_a00_s2,e07,a00,s2
25,28.555326,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,28.63192,0.07659400000000005,76.59400000000005,e07_a00_s2,e07,a00,s2
26,28.63192,e07_s2_seg,yeah_y_eng_eng,yeah,y,eng,eng,NA,1,28.668277,0.03635699999999886,36.35699999999886,e07_a00_s2,e07,a00,s2
27,28.668277,e07_s2_seg,yeah_eah_eng_eng,yeah,eah,eng,eng,NA,1,28.814382,0.1461049999999986,146.1049999999986,e07_a00_s2,e07,a00,s2
28,61.658596,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,61.672453,0.013856999999994457,13.856999999994457,e07_a00_s2,e07,a00,s2
29,61.672453,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,61.759652,0.08719900000000536,87.19900000000536,e07_a00_s2,e07,a00,s2
30,61.759652,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,61.821786,0.062134000000000356,62.134000000000356,e07_a00_s2,e07,a00,s2
31,61.821786,e07_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,61.842963,0.02117699999999445,21.17699999999445,e07_a00_s2,e07,a00,s2
32,61.842963,e07_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,61.853378,0.01041500000000184,10.41500000000184,e07_a00_s2,e07,a00,s2
33,62.227729,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,62.244656,0.01692700000000258,16.92700000000258,e07_a00_s2,e07,a00,s2
34,62.244656,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,62.329566,0.08491000000000071,84.91000000000071,e07_a00_s2,e07,a00,s2
35,62.329566,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,62.381475,0.05190900000000198,51.90900000000198,e07_a00_s2,e07,a00,s2
36,62.381475,e07_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,62.385109,0.0036339999999981387,3.6339999999981387,e07_a00_s2,e07,a00,s2
37,62.385109,e07_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,62.395283,0.01017399999999924,10.17399999999924,e07_a00_s2,e07,a00,s2
38,82.541975,e07_s2_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,82.606604,0.0646290000000107,64.6290000000107,e07_a00_s2,e07,a00,s2
39,82.606604,e07_s2_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,82.676771,0.07016699999999787,70.16699999999787,e07_a00_s2,e07,a00,s2
40,89.717402,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,89.735025,0.017622999999986177,17.622999999986177,e07_a00_s2,e07,a00,s2
41,89.735025,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,89.804404,0.06937900000001207,69.37900000001207,e07_a00_s2,e07,a00,s2
42,89.804404,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,89.897246,0.09284199999999032,92.84199999999032,e07_a00_s2,e07,a00,s2
43,89.897246,e07_s2_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,89.909724,0.012478000000001543,12.478000000001543,e07_a00_s2,e07,a00,s2
44,89.909724,e07_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,89.927402,0.017678000000003635,17.678000000003635,e07_a00_s2,e07,a00,s2
45,104.367186,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,104.391942,0.024755999999996448,24.755999999996448,e07_a00_s2,e07,a00,s2
46,104.391942,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,104.517982,0.12604000000000326,126.04000000000326,e07_a00_s2,e07,a00,s2
47,104.517982,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,104.566242,0.04825999999999908,48.25999999999908,e07_a00_s2,e07,a00,s2
48,104.566242,e07_s2_seg,like_k-burst_eng_eng_d_0,like,k-burst,eng,eng,d,0,104.580634,0.014392000000000849,14.392000000000849,e07_a00_s2,e07,a00,s2
49,104.580634,e07_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,104.594217,0.013582999999997014,13.582999999997014,e07_a00_s2,e07,a00,s2
50,107.588014,e07_s2_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,107.67556,0.08754600000000323,87.54600000000323,e07_a00_s2,e07,a00,s2
51,107.67556,e07_s2_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,107.702722,0.027161999999989916,27.161999999989916,e07_a00_s2,e07,a00,s2
52,107.702722,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,107.709762,0.007040000000003488,7.040000000003488,e07_a00_s2,e07,a00,s2
53,107.709762,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,107.775882,0.06611999999999796,66.11999999999796,e07_a00_s2,e07,a00,s2
54,107.775882,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,107.819349,0.043467000000006806,43.467000000006806,e07_a00_s2,e07,a00,s2
55,107.819349,e07_s2_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,107.829245,0.009895999999997684,9.895999999997684,e07_a00_s2,e07,a00,s2
56,107.829245,e07_s2_seg,like_k-release_eng_eng_d_0,like,k-release,eng,eng,d,0,107.843172,0.01392699999999536,13.92699999999536,e07_a00_s2,e07,a00,s2
57,108.042967,e07_s2_seg,like_l_eng_eng_dq,like,l,eng,eng,dq,1,108.075047,0.03207999999999345,32.07999999999345,e07_a00_s2,e07,a00,s2
58,108.075047,e07_s2_seg,like_i_eng_eng_dq,like,i,eng,eng,dq,1,108.170664,0.09561700000000428,95.61700000000428,e07_a00_s2,e07,a00,s2
59,108.170664,e07_s2_seg,like_k-closure_eng_eng_dq,like,k-closure,eng,eng,dq,1,108.29884,0.1281759999999963,128.1759999999963,e07_a00_s2,e07,a00,s2
60,108.29884,e07_s2_seg,like_k-burst_eng_eng_dq,like,k-burst,eng,eng,dq,1,108.3049,0.006060000000005061,6.060000000005061,e07_a00_s2,e07,a00,s2
61,108.3049,e07_s2_seg,like_k-release_eng_eng_dq_0,like,k-release,eng,eng,dq,0,108.329643,0.024743000000000848,24.743000000000848,e07_a00_s2,e07,a00,s2
62,116.372099,e07_s2_seg,so-eng_s_eng_eng,so-eng,s,eng,eng,NA,1,116.5049,0.1328010000000006,132.8010000000006,e07_a00_s2,e07,a00,s2
63,116.5049,e07_s2_seg,so-eng_o_eng_eng,so-eng,o,eng,eng,NA,1,116.94398,0.4390799999999899,439.0799999999899,e07_a00_s2,e07,a00,s2
64,122.130913,e07_s2_seg,like_l_eng_eng_d,like,l,eng,eng,d,1,122.201952,0.07103899999999896,71.03899999999896,e07_a00_s2,e07,a00,s2
65,122.201952,e07_s2_seg,like_i_eng_eng_d,like,i,eng,eng,d,1,122.35307,0.15111799999999675,151.11799999999675,e07_a00_s2,e07,a00,s2
66,122.35307,e07_s2_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,122.482802,0.12973200000000418,129.73200000000418,e07_a00_s2,e07,a00,s2
