line	tmin	tier	text	tmax
1	93.905161	e08_s2_seg	so-jap_s_jap_jap	94.008834
2	94.008834	e08_s2_seg	so-jap_o_jap_jap	94.160677
3	94.559600	e08_s2_seg	so-jap_s_jap_jap	94.673070
4	94.673070	e08_s2_seg	so-jap_o_jap_jap	94.847730
5	105.030495	e08_s2_seg	so-jap_s_jap_jap	105.148977
6	105.148977	e08_s2_seg	so-jap_o_jap_jap	105.241233
7	117.122947	e08_s2_seg	so-jap_s_jap_jap	117.234907
8	117.234907	e08_s2_seg	so-jap_o_jap_jap	117.266317
9	134.546700	e08_s2_seg	nanka_na_jap_jap	134.615825
10	134.615825	e08_s2_seg	nanka_n_jap_jap	134.644696
11	134.644696	e08_s2_seg	nanka_ka_jap_jap	134.728204
12	141.909910	e08_s2_seg	so-jap_s_jap_jap	142.048891
13	142.048891	e08_s2_seg	so-jap_o_jap_jap	142.427669
14	143.525469	e08_s2_seg	so-jap_s_jap_jap	143.643302
15	143.643302	e08_s2_seg	so-jap_o_jap_jap	143.974429
16	144.711005	e08_s2_seg	so-jap_s_jap_jap	144.845487
17	144.845487	e08_s2_seg	so-jap_o_jap_jap	145.060847
18	145.060847	e08_s2_seg	so-jap_s_jap_jap	145.164817
19	145.164817	e08_s2_seg	so-jap_o_jap_jap	145.278421
20	145.278421	e08_s2_seg	so-jap_s_jap_jap	145.392547
21	145.392547	e08_s2_seg	so-jap_o_jap_jap	145.496232
22	145.496232	e08_s2_seg	so-jap_s_jap_jap	145.610621
23	145.610621	e08_s2_seg	so-jap_o_jap_jap	145.675044
24	153.190429	e08_s2_seg	so-jap_s_jap_jap	153.327600
25	153.327600	e08_s2_seg	so-jap_o_jap_jap	153.467073
26	181.614969	e08_s2_seg	so-jap_s_jap_jap	181.699560
27	181.699560	e08_s2_seg	so-jap_o_jap_jap	181.808563
28	201.195610	e08_s2_seg	nanka_na_jap_jap	201.319017
29	201.319017	e08_s2_seg	nanka_n_jap_jap	201.353642
30	201.353642	e08_s2_seg	nanka_ka_jap_jap	201.453507
31	202.324435	e08_s2_seg	nanka_na_jap_jap	202.417017
32	202.417017	e08_s2_seg	nanka_n_jap_jap	202.433929
33	202.433929	e08_s2_seg	nanka_ka_jap_jap	202.517392
34	215.964663	e08_s2_seg	nanka_na_jap_jap	216.042332
35	216.042332	e08_s2_seg	nanka_n_jap_jap	216.082226
36	216.082226	e08_s2_seg	nanka_ka_jap_jap	216.134144
37	219.490920	e08_s2_seg	nanka_na_jap_jap	219.560682
38	219.560682	e08_s2_seg	nanka_n_jap_jap	219.584042
39	219.584042	e08_s2_seg	nanka_ka_jap_jap	219.651568
40	223.520302	e08_s2_seg	nanka_na_jap_jap	223.725529
41	223.725529	e08_s2_seg	nanka_n_jap_jap	223.750850
42	223.750850	e08_s2_seg	nanka_ka_jap_jap	223.839608
43	225.379148	e08_s2_seg	nanka_na_jap_jap	225.524658
44	225.524658	e08_s2_seg	nanka_n_jap_jap	225.587158
45	225.587158	e08_s2_seg	nanka_ka_jap_jap	225.740644
46	229.136241	e08_s2_seg	so-jap_s_jap_jap	229.204309
47	229.204309	e08_s2_seg	so-jap_o_jap_jap	229.251244
48	309.002851	e08_s2_seg	so-jap_s_jap_jap	309.110752
49	309.110752	e08_s2_seg	so-jap_o_jap_jap	309.358465
50	347.772791	e08_s2_seg	nanka_na_jap_jap	347.893235
51	347.893235	e08_s2_seg	nanka_n_jap_jap	347.965533
52	347.965533	e08_s2_seg	nanka_ka_jap_jap	348.219872
53	349.256249	e08_s2_seg	nanka_na_jap_jap	349.359392
54	349.359392	e08_s2_seg	nanka_n_jap_jap	349.437264
55	349.437264	e08_s2_seg	nanka_ka_jap_jap	349.620307
56	350.120377	e08_s2_seg	nanka_na_jap_jap	350.179596
57	350.179596	e08_s2_seg	nanka_n_jap_jap	350.221960
58	350.221960	e08_s2_seg	nanka_ka_jap_jap	350.388361
59	356.697589	e08_s2_seg	nanka_na_jap_jap	356.806083
60	356.806083	e08_s2_seg	nanka_n_jap_jap	356.846108
61	356.846108	e08_s2_seg	nanka_ka_jap_jap	357.051170
62	358.678455	e08_s2_seg	nanka_na_jap_jap	358.797447
63	358.797447	e08_s2_seg	nanka_n_jap_jap	358.835589
64	358.835589	e08_s2_seg	nanka_ka_jap_jap	358.921997
65	360.376954	e08_s2_seg	nanka_na_jap_jap	360.540966
66	360.540966	e08_s2_seg	nanka_n_jap_jap	360.587931
67	360.587931	e08_s2_seg	nanka_ka_jap_jap	360.656358
68	362.282439	e08_s2_seg	nanka_na_jap_jap	362.372367
69	362.372367	e08_s2_seg	nanka_n_jap_jap	362.411373
70	362.411373	e08_s2_seg	nanka_ka_jap_jap	362.566104
71	365.568363	e08_s2_seg	nanka_na_jap_jap	365.680095
72	365.680095	e08_s2_seg	nanka_n_jap_jap	365.724868
73	365.724868	e08_s2_seg	nanka_ka_jap_jap	365.872309
74	369.841118	e08_s2_seg	nanka_na_jap_jap	369.880612
75	369.880612	e08_s2_seg	nanka_n_jap_jap	369.926379
76	369.926379	e08_s2_seg	nanka_ka_jap_jap	369.959167
77	374.908266	e08_s2_seg	so-jap_s_jap_jap	375.006827
78	375.006827	e08_s2_seg	so-jap_o_jap_jap	375.125781
79	377.538037	e08_s2_seg	nanka_na_jap_jap	377.627430
80	377.627430	e08_s2_seg	nanka_n_jap_jap	377.665066
81	377.665066	e08_s2_seg	nanka_ka_jap_jap	377.741770
82	379.298428	e08_s2_seg	so-jap_s_jap_jap	379.401413
83	379.401413	e08_s2_seg	so-jap_o_jap_jap	379.535825
84	380.723375	e08_s2_seg	so-jap_s_jap_jap	380.819622
85	380.819622	e08_s2_seg	so-jap_o_jap_jap	380.889743
86	384.361716	e08_s2_seg	so-jap_s_jap_jap	384.488273
87	384.488273	e08_s2_seg	so-jap_o_jap_jap	384.668928
88	429.233207	e08_s2_seg	so-jap_s_jap_jap	429.318425
89	429.318425	e08_s2_seg	so-jap_o_jap_jap	429.521217
90	435.753733	e08_s2_seg	nanka_na_jap_jap	435.848322
91	435.848322	e08_s2_seg	nanka_n_jap_jap	435.895052
92	435.895052	e08_s2_seg	nanka_ka_jap_jap	435.957279
93	441.948533	e08_s2_seg	so-jap_s_jap_jap	442.091627
94	442.091627	e08_s2_seg	so-jap_o_jap_jap	442.277326
