katakana,alphabet,sequence
ア,a,2
イ,i,2
ウ,ɯ,2
エ,e,2
オ,o,2
カ,ka,2
キ,ki,2
ク,kɯ,2
ケ,ke,2
コ,ko,2
サ,sa,2
シ,ɕi,2
ス,sɯ,2
セ,se,2
ソ,so,2
タ,ta,2
チ,tɕi,2
ツ,tsɯ,2
テ,te,2
ト,to,2
ナ,na,2
ニ,ɲi,2
ヌ,nɯ,2
ネ,ne,2
ノ,no,2
ハ,ha,2
ヒ,çi,2
フ,ɸɯ,2
ヘ,he,2
ホ,ho,2
マ,ma,2
ミ,mi,2
ム,mɯ,2
メ,me,2
モ,mo,2
ヤ,ja,2
ユ,jɯ,2
ヨ,jo,2
ラ,ɾa,2
リ,ɾi,2
ル,ɾɯ,2
レ,ɾe,2
ロ,ɾo,2
ワ,wa,2
ヲ,o,2
ン,N,2
ガ,ga,2
ギ,gʲi,2
グ,gɯ,2
ゲ,ge,2
ゴ,go,2
ザ,za,2
ジ,dʑi,2
ズ,zɯ,2
ゼ,ze,2
ゾ,zo,2
ダ,da,2
ヂ,dʑi,2
ヅ,zɯ,2
デ,de,2
ド,do,2
バ,ba,2
ビ,bi,2
ブ,bɯ,2
ベ,be,2
ボ,bo,2
パ,pa,2
ピ,pi,2
プ,pɯ,2
ペ,pe,2
ポ,po,2
キャ,kʲa,1
キュ,kʲɯ,1
キョ,kʲo,1
シャ,ɕa,1
シュ,ɕɯ,1
ショ,ɕo,1
チャ,tɕa,1
チュ,tɕɯ,1
チョ,tɕo,1
ニャ,ɲa,1
ニュ,ɲɯ,1
ニョ,ɲo,1
ヒャ,ça,1
ヒュ,çɯ,1
ヒョ,ço,1
ミャ,mʲa,1
ミュ,mʲɯ,1
ミョ,mʲo,1
リャ,ɾʲa,1
リュ,ɾʲɯ,1
リョ,ɾʲo,1
ギャ,gʲa,1
ギュ,gʲɯ,1
ギョ,gʲo,1
ジャ,dʑa,1
ジュ,dʑɯ,1
ジョ,dʑo,1
ヂャ,dʑa,1
ヂュ,dʑɯ,1
ヂョ,dʑo,1
ビャ,bʲa,1
ビュ,bʲu,1
ビョ,bʲo,1
ピャ,pʲa,1
ピュ,pʲu,1
ピョ,pʲo,1
ティ,ti,1
ディ,di,1
トゥ,tu,1
ドゥ,du,1
イェ,je,1
