"prompt" "pair" "speaker" "eng_words" "jap_words" "eng_percent"
"a00" "e00" "s1" 437 293 0.598630136986301
"a00" "e00" "s2" 299 293 0.505067567567568
"a00" "e01" "s1" 749 1 0.998666666666667
"a00" "e01" "s2" 957 3 0.996875
"a00" "e02" "s1" 894 2 0.997767857142857
"a00" "e02" "s2" 753 2 0.997350993377483
"a00" "e03" "s1" 515 153 0.770958083832335
"a00" "e03" "s2" 377 232 0.619047619047619
"a00" "e06" "s1" 715 68 0.913154533844189
"a00" "e07" "s1" 405 0 1
"a00" "e07" "s2" 830 13 0.984578884934757
"a00" "e08" "s1" 69 542 0.112929623567921
"a00" "e08" "s2" 24 534 0.043010752688172
"b00" "e00" "s1" 377 541 0.410675381263617
"b00" "e00" "s2" 232 369 0.386023294509151
"b00" "e01" "s1" 430 93 0.822179732313576
"b00" "e01" "s2" 794 154 0.837552742616034
"b00" "e02" "s1" 929 87 0.914370078740158
"b00" "e02" "s2" 978 18 0.981927710843373
"b00" "e03" "s1" 477 230 0.674681753889675
"b00" "e03" "s2" 299 194 0.606490872210953
"b00" "e06" "s1" 135 589 0.18646408839779
"b00" "e06" "s2" 192 675 0.221453287197232
"b00" "e07" "s1" 42 361 0.104218362282878
"b00" "e07" "s2" 110 1010 0.0982142857142857
"b00" "e08" "s1" 117 568 0.170802919708029
"b00" "e08" "s2" 103 568 0.153502235469449
